dLET,dLET100,MeV/nuc,z2/b2
182.1,96.9,8.91,1960
205.821,110,7.6,2280
232.1,124,6.37,2640
254.7,136,5.64,2980
276,147,5.09,3290
359.5,193,3.42,4670
416.6,225,2.7,5750
432,233,2.55,6060
493.06,268,1.98,7300
501.5,273,1.92,7500
