dLET,dLET100,MeV/nuc,z2/b2
22.5,11.9,126,169
30,16.1,82.3,239
31,16.7,78.6,248
40.15,21.8,55.6,337
40.599,22,54.8,342
50.29,27.7,41.7,446
54.522,29.9,38,486
57.6,31.6,35.4,520
60,32.9,33.5,544
78.452,42.5,25.2,736
79.4,42.9,24.9,745
80.6,43.4,24.5,756
88,47.4,21.9,836
102,54.7,18.1,989
117,62.6,14.9,1160
127,67.8,13.9,1280
129.9,,,
137,73.1,12.9,1401
141.82,75.6,12.4,1460
151.5,,,
