PMMA AvgEnergyPrim Dose DosePrim DoseProt DLET DLETPrim DLETProt TLET TLETPrim TLETProt dQ dQPrim dQProt tQ tQPrim tQProt dZeff2Beta2 dZeff2Beta2Prim dZeff2Beta2Prot tZeff2Beta2 tZeff2Beta2Prim tZeff2Beta2Prot
1.500 3.714602e+01 1.785408e-01 1.722435e-01 1.757441e-01 4.733539e+01 1.582658e+01 1.684246e+01 1.636675e+01 1.580531e+01 1.603338e+01 3.603548e+00 2.713857e-02 3.083348e-02 7.427846e-02 2.714372e-02 2.778060e-02 1.633297e+02 1.339319e+01 1.507610e+01 1.503632e+01 1.339696e+01 1.369191e+01
1.500 3.713849e+01 1.737156e-01 1.692557e-01 1.732835e-01 2.011410e+01 1.582852e+01 1.673571e+01 1.613492e+01 1.580874e+01 1.606958e+01 4.845435e+00 2.714323e-02 2.977777e-02 9.653425e-02 2.715120e-02 2.783994e-02 6.691556e+01 1.339536e+01 1.462166e+01 1.427688e+01 1.340044e+01 1.372112e+01
1.500 3.714213e+01 1.710135e-01 1.669691e-01 1.706697e-01 1.774216e+01 1.582061e+01 1.669788e+01 1.608366e+01 1.580721e+01 1.604528e+01 3.310939e-02 2.712659e-02 2.977718e-02 2.748861e-02 2.714797e-02 2.778249e-02 1.615671e+01 1.338761e+01 1.461831e+01 1.354567e+01 1.339894e+01 1.369419e+01
1.500 3.715340e+01 1.723768e-01 1.672575e-01 1.717109e-01 1.915651e+01 1.581407e+01 1.719776e+01 1.618215e+01 1.580256e+01 1.611153e+01 3.789637e-02 2.711261e-02 3.150341e-02 2.781888e-02 2.713793e-02 2.799907e-02 1.834853e+01 1.338110e+01 1.542169e+01 1.369925e+01 1.339426e+01 1.379496e+01
1.500 3.715141e+01 1.674329e-01 1.630607e-01 1.668631e-01 2.035534e+01 1.581675e+01 1.696556e+01 1.612228e+01 1.580367e+01 1.605833e+01 4.611746e-02 2.711865e-02 3.083217e-02 2.770927e-02 2.714049e-02 2.784684e-02 2.138044e+01 1.338392e+01 1.510749e+01 1.363892e+01 1.339545e+01 1.372397e+01
1.500 3.714421e+01 1.701226e-01 1.654615e-01 1.691722e-01 1.979701e+01 1.581725e+01 1.710999e+01 1.614129e+01 1.580616e+01 1.603708e+01 4.891820e-02 2.711943e-02 4.050370e-02 2.822224e-02 2.714562e-02 2.831559e-02 2.081927e+01 1.338428e+01 1.692428e+01 1.370875e+01 1.339784e+01 1.376139e+01
1.500 3.714538e+01 1.693767e-01 1.643636e-01 1.678446e-01 2.697645e+01 1.604884e+01 1.713282e+01 1.620540e+01 1.580600e+01 1.603186e+01 1.033739e-01 2.713798e-02 3.092895e-02 2.826656e-02 2.714548e-02 2.777994e-02 3.800703e+01 1.339292e+01 1.514049e+01 1.380558e+01 1.339778e+01 1.369230e+01
1.500 3.714571e+01 1.692058e-01 1.653606e-01 1.689256e-01 1.842529e+01 1.582529e+01 1.672543e+01 1.604563e+01 1.580585e+01 1.601439e+01 4.430943e-02 2.713634e-02 3.765870e-02 2.790770e-02 2.714513e-02 2.819363e-02 1.873301e+01 1.339215e+01 1.579431e+01 1.356845e+01 1.339761e+01 1.371295e+01
1.500 3.714446e+01 1.706898e-01 1.653516e-01 1.697548e-01 2.565771e+01 1.583279e+01 1.765208e+01 1.619578e+01 1.580852e+01 1.608935e+01 2.054958e-01 2.716153e-02 4.312924e-02 3.262899e-02 2.715276e-02 2.848700e-02 4.202704e+01 1.340389e+01 1.808424e+01 1.404892e+01 1.340117e+01 1.384277e+01
1.500 3.714556e+01 1.664380e-01 1.618766e-01 1.662777e-01 1.733993e+01 1.582704e+01 1.706576e+01 1.612356e+01 1.580744e+01 1.610626e+01 3.171675e-02 2.714098e-02 3.096248e-02 2.760137e-02 2.714916e-02 2.795972e-02 1.552102e+01 1.339432e+01 1.516879e+01 1.359884e+01 1.339949e+01 1.377663e+01
1.500 3.714791e+01 1.751387e-01 1.690753e-01 1.732171e-01 3.146843e+01 1.581872e+01 1.762007e+01 1.628960e+01 1.580504e+01 1.607248e+01 1.124706e-01 2.712266e-02 3.650443e-02 2.858030e-02 2.714344e-02 2.799508e-02 4.549117e+01 1.338578e+01 1.729283e+01 1.396613e+01 1.339683e+01 1.377985e+01
1.500 3.715198e+01 1.739590e-01 1.686984e-01 1.729490e-01 2.574680e+01 1.582118e+01 1.804107e+01 1.622859e+01 1.580310e+01 1.611262e+01 2.156459e-01 2.712743e-02 4.435266e-02 3.299529e-02 2.713916e-02 2.862851e-02 4.513051e+01 1.338801e+01 1.869000e+01 1.416501e+01 1.339483e+01 1.390048e+01
1.500 3.714268e+01 1.731968e-01 1.677889e-01 1.715076e-01 4.654420e+01 1.582767e+01 1.674832e+01 1.625094e+01 1.580777e+01 1.605366e+01 2.842024e-01 2.714268e-02 2.992434e-02 2.853487e-02 2.714973e-02 2.781065e-02 7.727103e+01 1.339511e+01 1.468753e+01 1.385446e+01 1.339976e+01 1.370733e+01
