PMMA AvgEnergyPrim Dose DosePrim DoseProt DLET DLETPrim DLETProt TLET TLETPrim TLETProt dQ dQPrim dQProt tQ tQPrim tQProt dZeff2Beta2 dZeff2Beta2Prim dZeff2Beta2Prot tZeff2Beta2 tZeff2Beta2Prim tZeff2Beta2Prot
2.0 8.446205e+01 1.775185e-02 1.724969e-02 1.771550e-02 1.571878e+01 8.316450e+00 9.162050e+00 8.637796e+00 8.260671e+00 8.578762e+00 6.339238e-01 1.191103e-02 1.790646e-02 2.314203e-02 1.193267e-02 1.304105e-02 3.087900e+01 6.306918e+00 8.005615e+00 6.787530e+00 6.318369e+00 6.722082e+00
2.0 8.446274e+01 1.780072e-02 1.724439e-02 1.771204e-02 2.666565e+01 8.285684e+00 9.100757e+00 8.708942e+00 8.260619e+00 8.571209e+00 3.175992e+00 1.191087e-02 1.643465e-02 6.326895e-02 1.193257e-02 1.289672e-02 9.134511e+01 6.306845e+00 7.770044e+00 7.353038e+00 6.318324e+00 6.697751e+00
2.0 8.446213e+01 1.775167e-02 1.724188e-02 1.770926e-02 1.630423e+01 8.321271e+00 9.186675e+00 8.654088e+00 8.260664e+00 8.577709e+00 2.076054e+00 1.191095e-02 1.494349e-02 5.181332e-02 1.193266e-02 1.273395e-02 4.326360e+01 6.306885e+00 7.621740e+00 7.042049e+00 6.318363e+00 6.687460e+00
2.0 8.446135e+01 1.776502e-02 1.725748e-02 1.772513e-02 1.550362e+01 8.323705e+00 9.220465e+00 8.643153e+00 8.260723e+00 8.578111e+00 4.254180e-01 1.191106e-02 1.648554e-02 1.886275e-02 1.193277e-02 1.286852e-02 3.127656e+01 6.306936e+00 7.930328e+00 6.776823e+00 6.318415e+00 6.706451e+00
2.0 8.446225e+01 1.776942e-02 1.724725e-02 1.772472e-02 1.926121e+01 8.260520e+00 9.192210e+00 8.663091e+00 8.260655e+00 8.588428e+00 1.082363e+00 1.191091e-02 1.743581e-02 2.758974e-02 1.193264e-02 1.296203e-02 5.399140e+01 6.306864e+00 8.114085e+00 6.938736e+00 6.318356e+00 6.726081e+00
2.0 8.446241e+01 1.775168e-02 1.724773e-02 1.771857e-02 1.442052e+01 8.332165e+00 9.162421e+00 8.633351e+00 8.260644e+00 8.579258e+00 6.884516e-01 1.191093e-02 1.715549e-02 2.279885e-02 1.193262e-02 1.297213e-02 3.258381e+01 6.306876e+00 7.887218e+00 6.774973e+00 6.318345e+00 6.712875e+00
2.0 8.446195e+01 1.777884e-02 1.725173e-02 1.772893e-02 1.891434e+01 8.402007e+00 9.370186e+00 8.672012e+00 8.260678e+00 8.589316e+00 1.174020e+00 1.191101e-02 1.822859e-02 2.821945e-02 1.193269e-02 1.302884e-02 5.575452e+01 6.306910e+00 8.276052e+00 6.984615e+00 6.318376e+00 6.736425e+00
2.0 8.446200e+01 1.774689e-02 1.723073e-02 1.770799e-02 1.693837e+01 8.260611e+00 9.196314e+00 8.654097e+00 8.260675e+00 8.585003e+00 1.962584e+00 1.191108e-02 1.738307e-02 4.584757e-02 1.193268e-02 1.291316e-02 5.128810e+01 6.306943e+00 8.161188e+00 7.042060e+00 6.318373e+00 6.719581e+00
2.0 8.446160e+01 1.775246e-02 1.724008e-02 1.771441e-02 1.623550e+01 8.304758e+00 9.351120e+00 8.653159e+00 8.260704e+00 8.586943e+00 1.490651e+00 1.191105e-02 1.770279e-02 3.676580e-02 1.193274e-02 1.296672e-02 4.482449e+01 6.306928e+00 8.228196e+00 6.973853e+00 6.318398e+00 6.728394e+00
2.0 8.446145e+01 1.777806e-02 1.724000e-02 1.771113e-02 3.031728e+01 8.308810e+00 9.136008e+00 8.685257e+00 8.260715e+00 8.575859e+00 1.242344e+00 1.191107e-02 1.662037e-02 3.185752e-02 1.193276e-02 1.290373e-02 6.867846e+01 6.306939e+00 7.835374e+00 6.965069e+00 6.318408e+00 6.702897e+00
2.0 8.446206e+01 1.776677e-02 1.725608e-02 1.772928e-02 1.336785e+01 8.281381e+00 9.203725e+00 8.649089e+00 8.260669e+00 8.589918e+00 2.873082e-01 1.191107e-02 1.743562e-02 1.735586e-02 1.193267e-02 1.296691e-02 2.235173e+01 6.306937e+00 8.104561e+00 6.749420e+00 6.318368e+00 6.727903e+00
2.0 8.446202e+01 1.774924e-02 1.724659e-02 1.771762e-02 1.435831e+01 8.318576e+00 9.075707e+00 8.625134e+00 8.260672e+00 8.576339e+00 1.286131e-01 1.191099e-02 1.529337e-02 1.303959e-02 1.193268e-02 1.282595e-02 2.255470e+01 6.306899e+00 7.487662e+00 6.626126e+00 6.318371e+00 6.691081e+00
2.0 8.446198e+01 1.777325e-02 1.725978e-02 1.773486e-02 1.561544e+01 8.300327e+00 9.224968e+00 8.645216e+00 8.260675e+00 8.584482e+00 2.356357e-01 1.191103e-02 1.887725e-02 1.408064e-02 1.193268e-02 1.307344e-02 2.889162e+01 6.306920e+00 8.329678e+00 6.722742e+00 6.318373e+00 6.734129e+00
2.0 8.446170e+01 1.779347e-02 1.725602e-02 1.772064e-02 2.099090e+01 8.278214e+00 9.066429e+00 8.673044e+00 8.260696e+00 8.573724e+00 1.688071e+00 1.191106e-02 1.526246e-02 4.170173e-02 1.193272e-02 1.279666e-02 5.335008e+01 6.306934e+00 7.560203e+00 7.037817e+00 6.318392e+00 6.687965e+00
