;dLET;dLET100;MeV/nuc;z2/b2;CSDA [cm];Aluminum needed [cm];Rmk 1
;96.9;52.4;68.1;793;0.6699;1.5841;1.5771
;110;59.6;57.5;922;0.4948;1.7592;1.7522
;146;80.6;38.4;1310;0.2398;2.0142;2.0072
;158;86.8;35.7;1430;0.2104;2.0436;2.0366
;178;97.1;31.1;1620;0.1644;2.0896;2.0826
;182;99.2;30.2;1660;0.156;2.098;2.091
;219;118;24.7;2050;0.1091;2.1449;2.1379
;239;129;21.7;2260;0.08679;2.16721;2.16021
;277;148;18.2;2680;0.06381;2.19019;2.18319
;287;154;17.5;2790;0.05962;2.19438;2.18738
;373;199;12.8;3810;0.03497;2.21903;2.21203
;528;281;7.71;5820;0.0154;2.2386;2.2316
;569;303;7.1;6390;0.01356;2.24044;2.23344
;693;369;4.96;8250;0.007988;2.246012;2.239012
NeHSG;62;32.8;130;465;2.11;0.144;0.137
;72;38.4;103;556;1.399;0.855;0.848
;74.2;39.7;96.7;577;1.251;1.003;0.996
;77;41.3;88.7;603;1.073;1.181;1.174
;82;44.1;81.3;650;0.9191;1.3349;1.3279
;83.7;45;79.3;666;0.8792;1.3748;1.3678
;103;55.8;62.2;853;0.5696;1.6844;1.6774
;116;62.8;54.4;978;0.448;1.806;1.799
;166;90.9;33.8;1510;0.1908;2.0632;2.0562
;166;90.9;33.8;1510;0.1908;2.0632;2.0562
;169;92.4;33.2;1530;0.1848;2.0692;2.0622
;216;117;25.1;2020;0.1122;2.1418;2.1348
;339;181;14.3;3400;0.04216;2.21184;2.20484
;287;154;17.5;2790;0.05962;2.19438;2.18738
;340;182;14.3;3410;0.04216;2.21184;2.20484
;343;183;14.1;3440;0.04117;2.21283;2.20583
;347;185;13.9;3490;0.04018;2.21382;2.20682
;361;192;13.3;3660;0.0373;2.2167;2.2097
;373;199;12.8;3810;0.03497;2.21903;2.21203
;445;236;9.65;4700;0.02196;2.23204;2.22504
;528;281;7.71;5820;0.0154;2.2386;2.2316
;654;348;5.58;7640;0.009466;2.244534;2.237534
NeT1;61.9;32.8;130;464;2.11;0.144;0.137
;81.6;43.8;81.9;646;0.9312;1.3228;1.3158
;81.8;44;81.6;648;0.9252;1.3288;1.3218
;101;54.6;64.3;832;0.6044;1.6496;1.6426
;103;55.9;61.9;856;0.5646;1.6894;1.6824
;111;59.9;57.2;927;0.4901;1.7639;1.7569
;166;91.1;33.8;1510;0.1908;2.0632;2.0562
;176;96.2;31.5;1610;0.1682;2.0858;2.0788
;222;120;24.2;2080;0.1052;2.1488;2.1418
;249;134;20.3;2370;0.0772;2.1768;2.1698
;262;141;19.2;2510;0.07004;2.18396;2.17696
;340;182;14.3;3410;0.04216;2.21184;2.20484
;361;192;13.3;3660;0.0373;2.2167;2.2097
