PMMA AvgEnergyPrim DLET DLETPrim DLETProt TLET TLETPrim TLETProt dZ2Beta2 dZ2Beta2Prim dZ2Beta2Prot dZeff2Beta2 dZeff2Beta2Prim dZeff2Beta2Prot tZeff2Beta2 tZeff2Beta2Prim tZeff2Beta2Prot
4.38 2.835090e+00 2.377210e+02 2.449247e+02 2.377210e+02 1.468302e+02 1.616488e+02 1.468302e+02 7.766719e+02 8.088338e+02 7.766719e+02 5.672620e+02 5.890662e+02 5.672620e+02 1.115965e+01 3.092840e+02 2.756770e+02
4.38 2.893154e+00 2.036060e+02 2.013633e+02 2.036060e+02 1.413603e+02 1.528888e+02 1.413603e+02 3.831070e+02 3.752072e+02 3.831070e+02 3.722257e+02 3.645005e+02 3.722257e+02 8.352534e+00 2.442719e+02 2.257541e+02
4.38 2.575819e+00 2.624792e+02 2.740073e+02 2.624792e+02 1.680087e+02 1.846810e+02 1.680087e+02 1.018153e+03 1.079862e+03 1.018153e+03 6.771346e+02 7.148117e+02 6.771346e+02 1.396666e+01 3.958087e+02 3.530240e+02
4.38 2.626993e+00 2.341747e+02 2.209194e+02 2.341747e+02 1.565174e+02 1.634503e+02 1.565174e+02 7.321830e+02 6.844077e+02 7.321830e+02 5.413132e+02 4.933214e+02 5.413132e+02 1.215757e+01 2.994367e+02 2.909483e+02
4.38 2.536353e+00 6.554897e+02 2.562397e+02 2.490290e+02 1.885628e+02 1.766634e+02 1.590010e+02 1.922360e+05 8.445346e+02 8.171018e+02 6.460762e+03 6.162462e+02 5.967145e+02 3.021177e+01 3.459645e+02 3.066478e+02
4.38 3.050436e+00 2.521202e+02 2.554931e+02 2.521202e+02 1.533361e+02 1.607267e+02 1.533361e+02 1.185874e+03 1.204329e+03 1.185874e+03 7.183575e+02 7.292440e+02 7.183575e+02 1.104219e+01 3.509594e+02 3.318345e+02
4.38 2.822284e+00 2.025628e+02 2.059787e+02 2.025628e+02 1.485643e+02 1.573389e+02 1.485643e+02 6.315387e+02 6.444932e+02 6.315387e+02 4.348782e+02 4.434168e+02 4.348782e+02 9.525290e+00 2.854153e+02 2.670535e+02
4.38 2.938470e+00 1.909428e+02 1.968265e+02 1.909428e+02 1.393908e+02 1.538261e+02 1.393908e+02 3.321989e+02 3.441257e+02 3.321989e+02 3.281504e+02 3.398716e+02 3.281504e+02 6.191631e+00 2.435453e+02 2.179375e+02
4.38 2.546875e+00 2.238065e+02 2.310432e+02 2.238065e+02 1.511678e+02 1.708317e+02 1.511678e+02 6.203271e+02 6.453547e+02 6.203271e+02 4.668512e+02 4.846607e+02 4.668512e+02 1.004505e+01 3.158172e+02 2.746343e+02
4.38 2.818058e+00 1.920361e+02 1.985376e+02 1.920361e+02 1.400625e+02 1.548557e+02 1.400625e+02 3.366662e+02 3.503795e+02 3.366662e+02 3.323464e+02 3.457985e+02 3.323464e+02 1.057768e+01 2.462383e+02 2.195723e+02
4.38 3.017580e+00 1.710725e+02 1.788681e+02 1.710725e+02 1.256317e+02 1.425787e+02 1.256317e+02 2.902161e+02 3.057255e+02 2.902161e+02 2.865239e+02 3.017715e+02 2.865239e+02 5.447564e+00 2.189988e+02 1.891721e+02
4.38 2.891779e+00 2.260588e+02 2.286728e+02 2.260588e+02 1.454587e+02 1.555674e+02 1.454587e+02 5.353915e+02 5.423083e+02 5.353915e+02 4.806846e+02 4.868360e+02 4.806846e+02 7.646885e+00 2.625813e+02 2.439412e+02
4.38 3.126014e+00 2.271933e+02 2.333717e+02 2.271933e+02 1.444679e+02 1.531579e+02 1.444679e+02 1.210509e+03 1.256256e+03 1.210509e+03 6.519088e+02 6.748077e+02 6.519088e+02 1.177946e+01 3.484203e+02 3.218802e+02
4.32 3.516096e+00 2.147050e+02 2.140137e+02 2.147050e+02 1.408206e+02 1.405156e+02 1.408206e+02 7.938154e+02 7.798132e+02 7.938154e+02 5.181710e+02 5.133433e+02 5.181710e+02 1.431044e+02 2.642919e+02 2.665272e+02
4.32 3.491154e+00 2.108067e+02 2.007405e+02 2.018760e+02 1.380046e+02 1.372169e+02 1.372560e+02 8.525587e+02 6.464363e+02 6.561048e+02 5.045337e+02 4.498724e+02 4.548327e+02 1.325729e+02 2.431912e+02 2.443139e+02
4.32 3.442399e+00 2.097150e+02 2.082310e+02 2.097150e+02 1.405627e+02 1.402582e+02 1.405627e+02 7.064640e+02 6.880493e+02 7.064640e+02 4.852107e+02 4.773299e+02 4.852107e+02 1.302742e+02 2.533359e+02 2.559694e+02
4.32 3.512435e+00 2.127110e+02 2.105713e+02 2.127110e+02 1.400817e+02 1.394021e+02 1.400817e+02 7.385805e+02 7.313513e+02 7.385805e+02 5.030746e+02 4.973099e+02 5.030746e+02 1.386689e+02 2.560949e+02 2.584140e+02
4.32 3.461702e+00 2.098183e+02 2.091873e+02 2.098183e+02 1.402436e+02 1.401672e+02 1.402436e+02 7.636956e+02 7.574930e+02 7.636956e+02 5.022230e+02 4.994741e+02 5.022230e+02 1.370439e+02 2.603339e+02 2.612821e+02
4.32 3.456071e+00 2.131297e+02 2.115336e+02 2.131297e+02 1.406376e+02 1.403618e+02 1.406376e+02 7.648285e+02 7.504562e+02 7.648285e+02 5.089205e+02 5.021189e+02 5.089205e+02 1.386039e+02 2.599768e+02 2.622026e+02
4.32 3.486731e+00 1.984670e+02 1.955642e+02 1.984670e+02 1.367266e+02 1.358084e+02 1.367266e+02 5.707747e+02 5.552657e+02 5.707747e+02 4.261383e+02 4.161920e+02 4.261383e+02 1.248470e+02 2.310602e+02 2.344743e+02
4.32 3.460831e+00 2.075437e+02 2.054488e+02 2.075437e+02 1.393901e+02 1.388737e+02 1.393901e+02 7.648366e+02 7.447651e+02 7.648366e+02 4.959790e+02 4.862877e+02 4.959790e+02 1.366786e+02 2.565518e+02 2.597485e+02
4.32 3.473436e+00 2.010827e+02 2.004332e+02 2.010827e+02 1.371240e+02 1.367948e+02 1.371240e+02 6.959450e+02 7.004256e+02 6.959450e+02 4.658918e+02 4.662834e+02 4.658918e+02 1.304112e+02 2.475957e+02 2.479036e+02
4.32 3.535233e+00 1.979938e+02 1.976919e+02 1.979938e+02 1.363262e+02 1.364659e+02 1.363262e+02 5.489036e+02 5.495295e+02 5.489036e+02 4.171316e+02 4.167811e+02 4.171316e+02 1.200397e+02 2.317900e+02 2.315128e+02
4.32 3.427253e+00 2.049800e+02 2.052563e+02 2.049800e+02 1.387507e+02 1.393259e+02 1.387507e+02 6.937301e+02 6.977780e+02 6.937301e+02 4.725698e+02 4.743051e+02 4.725698e+02 1.339717e+02 2.524497e+02 2.509546e+02
4.32 3.482490e+00 2.025168e+02 1.985244e+02 2.025168e+02 1.385179e+02 1.377575e+02 1.385179e+02 6.489136e+02 6.016967e+02 6.489136e+02 4.509815e+02 4.294777e+02 4.509815e+02 1.295624e+02 2.402096e+02 2.465556e+02
4.32 3.529337e+00 2.012995e+02 1.997139e+02 2.012995e+02 1.356921e+02 1.358123e+02 1.356921e+02 7.307185e+02 7.204519e+02 7.307185e+02 4.747032e+02 4.684545e+02 4.747032e+02 1.297422e+02 2.479038e+02 2.487973e+02
4.32 3.491651e+00 2.061139e+02 2.051322e+02 2.060267e+02 1.386541e+02 1.386950e+02 1.385765e+02 6.852928e+02 6.689314e+02 6.856093e+02 4.720446e+02 4.659018e+02 4.721593e+02 1.306175e+02 2.483902e+02 2.499999e+02
4.32 3.489902e+00 2.126549e+02 2.109681e+02 2.126549e+02 1.406375e+02 1.402446e+02 1.406375e+02 7.603884e+02 7.445599e+02 7.603884e+02 5.054043e+02 4.979266e+02 5.054043e+02 1.340804e+02 2.597990e+02 2.623371e+02
4.32 3.572188e+00 1.980676e+02 1.960963e+02 1.980676e+02 1.344635e+02 1.341274e+02 1.344635e+02 6.370256e+02 6.158982e+02 6.370256e+02 4.427839e+02 4.328667e+02 4.427839e+02 1.257378e+02 2.341711e+02 2.369514e+02
4.32 3.443011e+00 2.057885e+02 2.056102e+02 2.057885e+02 1.398128e+02 1.399532e+02 1.398128e+02 6.671155e+02 6.707789e+02 6.671155e+02 4.647743e+02 4.656095e+02 4.647743e+02 1.275267e+02 2.511954e+02 2.506025e+02
4.32 3.505289e+00 2.044469e+02 1.981369e+02 2.002308e+02 1.372961e+02 1.361210e+02 1.366323e+02 6.775974e+02 6.501101e+02 6.724925e+02 4.626032e+02 4.460190e+02 4.565258e+02 1.277784e+02 2.413982e+02 2.447212e+02
4.32 3.473909e+00 1.989224e+02 1.994663e+02 1.989224e+02 1.363612e+02 1.368689e+02 1.363612e+02 5.555693e+02 5.589805e+02 5.555693e+02 4.218466e+02 4.238972e+02 4.218466e+02 1.198654e+02 2.336100e+02 2.323244e+02
4.32 3.472268e+00 2.096592e+02 2.085902e+02 2.096592e+02 1.402957e+02 1.400141e+02 1.402957e+02 7.350839e+02 7.263728e+02 7.350839e+02 4.922505e+02 4.877556e+02 4.922505e+02 1.335416e+02 2.575217e+02 2.590618e+02
