PMMA AvgEnergyPrim Dose DosePrim DoseProt DLET DLETPrim DLETProt TLET TLETPrim TLETProt dQ dQPrim dQProt tQ tQPrim tQProt dZeff2Beta2 dZeff2Beta2Prim dZeff2Beta2Prot tZeff2Beta2 tZeff2Beta2Prim tZeff2Beta2Prot
3.000 4.694827e+01 3.346744e-02 2.886578e-02 2.932801e-02 6.656963e+01 5.203392e+01 5.570879e+01 4.677497e+01 5.203140e+01 5.229895e+01 1.441170e+00 8.511359e-02 1.167795e-01 8.918404e-02 8.526199e-02 8.657811e-02 1.010234e+02 4.266052e+01 5.169678e+01 2.960987e+01 4.273508e+01 4.317694e+01
3.000 4.694969e+01 3.335385e-02 2.890572e-02 2.932953e-02 6.814831e+01 5.208995e+01 5.361480e+01 4.669520e+01 5.203012e+01 5.223542e+01 3.397971e-01 8.511192e-02 9.077933e-02 5.905812e-02 8.525943e-02 8.583061e-02 8.427703e+01 4.265975e+01 4.515800e+01 2.885381e+01 4.273389e+01 4.299311e+01
3.000 4.694854e+01 3.323001e-02 2.885363e-02 2.932879e-02 5.985657e+01 5.226657e+01 5.610205e+01 4.672499e+01 5.203112e+01 5.229521e+01 1.001507e+00 8.511429e-02 1.142395e-01 7.946096e-02 8.526141e-02 8.642528e-02 7.275677e+01 4.266085e+01 5.175527e+01 2.925086e+01 4.273482e+01 4.315770e+01
3.000 4.694918e+01 3.358124e-02 2.916388e-02 2.957723e-02 5.730432e+01 5.204642e+01 5.356369e+01 4.660031e+01 5.203059e+01 5.222921e+01 9.198509e-01 8.511243e-02 9.097923e-02 7.333067e-02 8.526036e-02 8.581631e-02 7.152139e+01 4.265998e+01 4.520107e+01 2.902118e+01 4.273433e+01 4.298519e+01
3.000 4.694784e+01 3.339598e-02 2.890191e-02 2.935238e-02 5.482128e+01 5.203552e+01 5.465437e+01 4.651441e+01 5.203179e+01 5.226805e+01 1.682593e-01 8.511595e-02 1.619997e-01 6.175013e-02 8.526277e-02 9.192359e-02 5.578296e+01 4.266162e+01 5.288272e+01 2.889554e+01 4.273545e+01 4.340740e+01
3.000 4.694601e+01 3.337071e-02 2.885608e-02 2.930093e-02 6.862210e+01 5.203642e+01 5.545788e+01 4.664197e+01 5.203342e+01 5.230013e+01 1.938304e+00 8.511859e-02 1.232708e-01 9.171730e-02 8.526605e-02 8.813393e-02 1.161848e+02 4.266285e+01 5.094574e+01 2.936700e+01 4.273698e+01 4.324223e+01
3.000 4.694933e+01 3.339541e-02 2.907839e-02 2.951206e-02 5.892475e+01 5.203430e+01 5.392943e+01 4.657273e+01 5.203042e+01 5.224402e+01 1.531633e-01 8.511036e-02 1.088725e-01 5.948197e-02 8.526002e-02 8.766775e-02 6.020424e+01 4.265902e+01 4.693985e+01 2.881707e+01 4.273417e+01 4.310813e+01
3.000 4.694654e+01 3.325404e-02 2.883976e-02 2.930130e-02 5.632739e+01 5.203629e+01 5.626994e+01 4.663420e+01 5.203295e+01 5.230606e+01 1.263659e-01 8.511615e-02 1.143021e-01 5.862572e-02 8.526509e-02 8.645962e-02 5.529692e+01 4.266171e+01 5.189265e+01 2.886360e+01 4.273653e+01 4.317269e+01
3.000 4.694990e+01 3.331936e-02 2.899491e-02 2.938010e-02 6.389341e+01 5.225748e+01 5.303486e+01 4.662828e+01 5.202992e+01 5.218375e+01 1.235183e+00 8.510985e-02 8.766547e-02 7.963668e-02 8.525902e-02 8.564204e-02 9.015650e+01 4.265878e+01 4.378748e+01 2.913177e+01 4.273370e+01 4.290921e+01
3.000 4.694880e+01 3.343711e-02 2.898551e-02 2.939033e-02 6.426239e+01 5.203426e+01 5.348758e+01 4.655496e+01 5.203090e+01 5.220718e+01 7.784824e-01 8.511424e-02 9.366074e-02 7.002290e-02 8.526099e-02 8.579992e-02 8.827772e+01 4.266082e+01 4.563190e+01 2.904247e+01 4.273462e+01 4.296047e+01
