PMMA,AvgEnergyPrim,Dose,DosePrim,DoseProt,DLET,DLETPrim,DLETProt,TLET,TLETPrim,TLETProt,dQ,dQPrim,dQProt,tQ,tQPrim,tQProt,dZeff2Beta2,dZeff2Beta2Prim,dZeff2Beta2Prot,tZeff2Beta2,tZeff2Beta2Prim,tZeff2Beta2Prot
0.1,76.62226,0.1305351,0.1280645,0.1300868,13.32899,8.920449,9.542172,9.024829,8.899328,8.990847,0.05836439,0.01313247,0.01853231,0.01369881,0.01315326,0.01349374,18.92845,6.874843,8.268702,7.054451,6.885894,7.004451
0.1,76.6227,0.1320642,0.1294799,0.1314935,15.16784,8.921963,9.410843,9.039848,8.899287,8.996629,0.04924576,0.01313284,0.01441663,0.01354783,0.01315318,0.01338693,19.84709,6.875013,7.472707,7.046838,6.885857,6.994687
0.1,76.62193,0.1314973,0.128963,0.1309117,13.96956,8.926591,9.727769,9.047839,8.899357,9.002589,0.035048,0.01313244,0.01944928,0.01362276,0.01315331,0.01353039,15.26555,6.874827,8.667728,7.059068,6.885919,7.021889
0.1,76.62151,0.1323913,0.1301684,0.1320261,11.79901,8.927291,9.760193,9.026244,8.899396,8.998107,0.02406552,0.0131327,0.01614329,0.0134639,0.01315339,0.01341655,11.7131,6.874951,8.252856,7.024938,6.885954,7.007874
0.1,76.62231,0.1330153,0.1299691,0.131894,47.54535,8.934857,10.24101,9.095562,8.899323,9.004299,2.525563,0.01313317,0.02568614,0.02958419,0.01315325,0.01368281,152.5422,6.875166,10.39454,7.493865,6.885889,7.051204
0.1,76.62178,0.1318594,0.1291562,0.1313127,14.58264,8.938599,9.69686,9.052964,8.899371,9.009469,1.393502,0.01313271,0.01470838,0.02179872,0.01315334,0.01342042,33.36847,6.874954,7.608502,7.140273,6.885931,7.010277
0.1,76.62227,0.1329537,0.1291451,0.1315343,71.39045,8.942943,9.987271,9.142206,8.899326,9.021565,8.995849,0.01313251,0.02049465,0.0662798,0.01315326,0.01358658,245.1948,6.874859,9.136635,7.796812,6.885892,7.046744
0.1,76.62262,0.1320324,0.1288818,0.131159,17.91119,8.953686,9.84426,9.085094,8.899295,9.015091,1.271795,0.01313239,0.01615474,0.02229197,0.0131532,0.01345514,49.19162,6.874805,8.258869,7.265795,6.885864,7.025916
0.1,76.62265,0.1326585,0.1284186,0.1303412,34.03014,8.954382,10.06713,9.182471,8.899293,8.997476,3.795878,0.01313276,0.02000518,0.04083493,0.01315319,0.01352938,121.196,6.874976,8.924128,7.731754,6.885863,7.020846
0.1,76.62194,0.1326449,0.1290288,0.1310558,73.02636,8.957001,9.830149,9.134092,8.899356,9.003648,2.892765,0.01313259,0.01511066,0.0306215,0.01315331,0.01341694,218.9176,6.874897,7.794737,7.641674,6.885918,7.008615
0.1,76.62238,0.1320363,0.1288818,0.1309436,44.19085,8.965796,9.735646,9.098327,8.899317,9.003223,11.38525,0.01313238,0.01473659,0.07620668,0.01315324,0.01340954,245.9019,6.874802,7.621646,7.791239,6.885884,7.005215
0.1,76.62217,0.1326686,0.1304947,0.1322109,12.36204,8.965901,9.782597,9.024565,8.899336,8.986768,2.229408,0.01313263,0.01645943,0.02978816,0.01315327,0.01338938,35.00274,6.874918,8.28996,7.189006,6.8859,6.993742
0.1,76.62165,0.1317061,0.1293972,0.1313842,11.68776,8.966413,9.949611,9.02236,8.899383,8.998564,0.02779213,0.01313256,0.02100559,0.01356896,0.01315336,0.01354018,12.24827,6.874883,9.274056,7.03334,6.885943,7.024507
0.1,76.62213,0.1329995,0.1303349,0.1324159,18.42616,8.967606,9.637451,9.052803,8.899339,9.006764,0.05503367,0.01313277,0.01507469,0.01355076,0.01315328,0.01342348,22.84413,6.874984,7.778457,7.056935,6.885904,7.011675
0.1,76.62184,0.1319476,0.1287589,0.1307592,39.15663,8.96834,10.08242,9.106363,8.899366,9.005952,5.675514,0.01313262,0.0242007,0.04347525,0.01315333,0.01367092,179.7852,6.874911,9.791646,7.631261,6.885927,7.046891
0.1,76.62193,0.131024,0.1286138,0.1308042,11.29056,8.969227,9.874534,9.029955,8.899357,9.010434,1.080343,0.01313267,0.01959942,0.02212685,0.01315331,0.01356064,27.86708,6.874935,8.741255,7.159711,6.88592,7.034418
0.1,76.62283,0.1324809,0.1299378,0.1318257,38.11939,8.970733,9.617407,9.050058,8.899277,8.996517,2.989889,0.01313232,0.01516047,0.02692392,0.01315316,0.0134,132.9176,6.874772,7.81313,7.27308,6.885848,7.000586
0.1,76.62238,0.1315802,0.1286981,0.1306722,17.22647,8.988893,9.657159,9.068258,8.899317,8.997698,0.09528663,0.01313247,0.01507432,0.01416535,0.01315324,0.0134038,28.95276,6.87484,7.778253,7.168261,6.885883,7.002514
0.1,76.62213,0.1322294,0.1287954,0.1308889,42.01531,8.994341,9.880471,9.116791,8.899341,9.009236,2.909491,0.01313231,0.01662807,0.03100314,0.01315328,0.01344644,118.5806,6.874765,8.403972,7.361994,6.885906,7.020779
0.1,76.62111,0.1321799,0.129864,0.1317472,13.90514,9.004669,9.621355,9.031002,8.899431,8.994947,2.017675,0.01313279,0.01831479,0.02662043,0.01315345,0.01350027,44.81549,6.87499,8.207476,7.197012,6.885985,7.008861
0.1,76.62276,0.1318575,0.1283532,0.1302108,79.84255,9.00495,9.46069,9.121191,8.899283,8.985537,8.265271,0.01313228,0.01439241,0.05102816,0.01315317,0.01336152,303.9085,6.874754,7.46071,7.671437,6.885854,6.982831
0.1,76.62173,0.1320818,0.1284724,0.1309828,32.44255,9.029197,10.69476,9.127138,8.899376,9.039691,1.68121,0.01313267,0.02685235,0.02373259,0.01315335,0.01378692,90.47152,6.874936,10.91307,7.389845,6.885936,7.09838
0.1,76.62257,0.1318706,0.1289223,0.1308278,48.91155,9.035515,9.575798,9.076847,8.8993,8.994272,2.961414,0.01313238,0.0146405,0.02637016,0.0131532,0.01338533,155.5446,6.874799,7.57612,7.317184,6.885868,6.993914
0.1,76.62225,0.1318224,0.1280408,0.1303494,55.61469,9.046072,10.18761,9.141609,8.899329,9.015754,7.67003,0.01313232,0.02476123,0.0587888,0.01315326,0.01369628,225.6046,6.874773,9.944571,7.795631,6.885895,7.056679
0.1,76.62228,0.1323432,0.1296685,0.1317342,26.2717,9.082971,9.825975,9.063496,8.899326,9.006156,7.290122,0.01313268,0.01570915,0.05877181,0.01315325,0.01342635,145.4269,6.874939,8.04203,7.591057,6.885892,7.012416
0.1,76.62253,0.1315761,0.1286754,0.1307539,34.75598,9.083704,9.808438,9.061785,8.899303,8.998583,1.41964,0.01313205,0.018355,0.01577247,0.01315321,0.01351116,105.6803,6.874645,8.360622,7.170371,6.885871,7.014483
0.1,76.62181,0.1320523,0.1286455,0.1309083,20.36584,9.086547,10.28745,9.113553,8.899369,9.02091,2.610037,0.01313241,0.0247927,0.03332401,0.01315334,0.01370981,63.7965,6.874812,10.00409,7.450263,6.88593,7.064423
0.1,76.62239,0.13181,0.1286139,0.130782,31.94911,9.09839,10.89232,9.101988,8.899316,9.01802,2.942115,0.01313224,0.03182699,0.0330302,0.01315324,0.01385877,91.05834,6.874735,12.05551,7.46321,6.885883,7.09202
0.1,76.62206,0.1329558,0.1299671,0.1317988,34.15486,9.114244,10.00631,9.096732,8.899346,8.994894,7.581276,0.0131326,0.01654695,0.06498644,0.01315329,0.0134128,179.1527,6.874901,8.415426,7.800898,6.88591,7.005666
0.1,76.62212,0.1322522,0.1295657,0.1317977,17.96729,9.126819,10.05138,9.055065,8.89934,9.013704,4.069014,0.01313223,0.02002985,0.04029807,0.01315328,0.01356538,85.85756,6.874731,8.927065,7.406029,6.885905,7.037135
0.1,76.62278,0.1327103,0.1294895,0.1314407,25.90481,9.12743,9.806911,9.10702,8.899281,9.001294,4.895194,0.01313239,0.01521109,0.04397117,0.01315317,0.01341227,129.2836,6.874805,7.838931,7.649207,6.885852,7.006369
0.1,76.62243,0.1339524,0.1300956,0.1320807,80.62143,9.132014,9.763048,9.151421,8.899312,8.998508,7.20878,0.0131328,0.01739235,0.04673664,0.01315323,0.01350077,304.6334,6.874993,8.002828,7.75729,6.885879,7.011654
0.1,76.62225,0.131129,0.1287032,0.1305379,12.76273,9.135856,10.01616,9.038743,8.899329,8.99373,0.02997982,0.01313233,0.02017142,0.01361565,0.01315326,0.01352079,13.33033,6.874777,8.964443,7.055186,6.885894,7.015462
0.1,76.62261,0.1326194,0.1290464,0.1312192,31.29442,9.136366,10.21561,9.132125,8.899296,9.01518,5.580831,0.01313226,0.01710715,0.04882473,0.0131532,0.01346929,124.421,6.874743,8.687708,7.638236,6.885866,7.032186
0.1,76.62226,0.133051,0.1290186,0.1313423,32.74522,9.143835,10.37623,9.160374,8.899328,9.022746,3.779667,0.01313248,0.02143511,0.03648905,0.01315326,0.01360357,127.9867,6.874848,9.567363,7.651264,6.885894,7.055385
0.1,76.62224,0.1320218,0.129554,0.1314301,13.06549,9.157267,9.913066,9.034987,8.89933,8.990626,0.03240917,0.01313256,0.01957245,0.01360964,0.01315326,0.01350614,14.20059,6.874883,8.708785,7.050622,6.885896,7.008954
0.1,76.62289,0.1315412,0.1288879,0.1309465,12.99158,9.187158,10.06382,9.053711,8.899271,9.008068,0.02623279,0.01313221,0.01632749,0.01353997,0.01315315,0.01344044,12.84646,6.874719,8.325695,7.061146,6.885843,7.018813
0.1,76.62187,0.1348072,0.1295946,0.1317541,155.3681,9.205604,9.840104,9.25278,8.899364,9.010186,5.08767,0.01313243,0.01497112,0.03567785,0.01315333,0.01342712,418.3248,6.874825,7.728565,7.829432,6.885925,7.013328
0.1,76.62213,0.1330155,0.1289873,0.1313298,55.27995,9.20649,9.994598,9.144274,8.89934,9.007885,3.20144,0.01313254,0.01482621,0.03202601,0.01315328,0.0134207,165.1179,6.874873,7.663188,7.546546,6.885905,7.010402
0.1,76.62237,0.1324501,0.1295703,0.1314603,25.51574,9.212757,9.816803,9.081504,8.899318,8.998524,6.310059,0.0131327,0.01494716,0.05059547,0.01315324,0.01340074,132.901,6.874948,7.714984,7.552348,6.885885,7.000983
0.1,76.62236,0.1317074,0.1287366,0.1306231,45.10775,9.22269,9.744647,9.087454,8.899319,8.995451,7.124141,0.01313253,0.01456567,0.05020601,0.01315324,0.01338748,199.1816,6.87487,7.541989,7.562349,6.885886,6.994938
0.1,76.62253,0.1334902,0.1303806,0.1322814,33.04832,9.253173,10.0371,9.100071,8.899304,8.996966,5.330703,0.01313207,0.01593883,0.05092433,0.01315321,0.0134095,129.9977,6.874658,8.146958,7.651574,6.885873,7.004514
