PMMA AvgEnergyPrim Dose DosePrim DoseProt DLET DLETPrim DLETProt TLET TLETPrim TLETProt dQ dQPrim dQProt tQ tQPrim tQProt dZeff2Beta2 dZeff2Beta2Prim dZeff2Beta2Prot tZeff2Beta2 tZeff2Beta2Prim tZeff2Beta2Prot
4.405 3.346197e+00 3.727906e-04 2.906568e-04 3.631810e-04 2.459289e+02 2.925490e+02 2.510226e+02 1.063178e+02 1.706836e+02 1.097892e+02 1.291148e+00 1.588606e+00 1.322068e+00 3.229655e-03 7.351235e-01 4.355666e-01 5.545135e+02 6.796259e+02 5.676550e+02 1.439057e+00 3.242074e+02 1.938661e+02
4.405 2.766267e+00 8.242975e-04 5.664405e-04 6.896302e-04 2.280636e+02 2.497896e+02 2.280636e+02 1.353449e+02 1.676693e+02 1.353449e+02 1.039183e+00 1.174138e+00 1.039183e+00 5.899182e-03 6.471454e-01 5.001686e-01 4.607785e+02 5.185181e+02 4.607785e+02 2.681296e+00 2.927535e+02 2.273366e+02
4.405 2.806140e+00 4.840602e-04 3.308582e-04 4.840602e-04 1.367736e+02 1.794162e+02 1.367736e+02 8.378800e+01 1.535881e+02 8.378800e+01 4.611599e-01 6.284250e-01 4.611599e-01 3.334964e-03 5.124066e-01 2.506452e-01 2.145549e+02 2.920047e+02 2.145549e+02 1.558823e+00 2.385280e+02 1.171561e+02
4.405 1.827959e+00 5.178816e-04 3.634192e-04 5.178816e-04 2.034852e+02 2.419587e+02 2.034852e+02 1.254653e+02 1.991278e+02 1.254653e+02 8.010797e-01 9.808346e-01 8.010797e-01 4.133390e-03 7.427859e-01 4.367854e-01 3.679480e+02 4.494649e+02 3.679480e+02 1.912665e+00 3.424483e+02 2.021160e+02
4.405 2.433334e+00 4.306346e-04 3.457328e-04 4.306346e-04 2.322020e+02 2.686825e+02 2.322020e+02 1.337251e+02 1.912694e+02 1.337251e+02 9.961064e-01 1.185501e+00 9.961064e-01 3.840907e-03 7.490770e-01 4.859144e-01 4.518863e+02 5.369556e+02 4.518863e+02 1.762905e+00 3.423209e+02 2.230257e+02
4.405 2.864494e+00 5.068894e-04 3.900585e-04 5.068894e-04 1.619347e+02 1.671055e+02 1.619347e+02 1.164666e+02 1.422218e+02 1.164666e+02 5.567255e-01 5.758243e-01 5.567255e-01 3.995089e-03 4.579892e-01 3.684793e-01 2.586788e+02 2.674017e+02 2.586788e+02 1.862933e+00 2.133400e+02 1.718240e+02
4.405 2.458786e+00 6.649847e-04 4.769266e-04 6.649847e-04 1.753269e+02 2.206770e+02 1.753269e+02 1.030821e+02 1.717970e+02 1.030821e+02 6.696637e-01 8.762892e-01 6.696637e-01 5.145112e-03 6.136092e-01 3.335558e-01 3.069971e+02 4.010059e+02 3.069971e+02 2.385845e+00 2.832581e+02 1.546735e+02
4.405 2.689227e+00 5.172289e-04 4.322606e-04 5.172289e-04 1.788130e+02 1.881250e+02 1.788130e+02 1.183306e+02 1.582238e+02 1.183306e+02 6.336904e-01 6.709564e-01 6.336904e-01 4.140098e-03 5.330340e-01 3.891914e-01 2.943084e+02 3.114446e+02 2.943084e+02 1.928938e+00 2.479970e+02 1.813305e+02
4.405 2.334877e+00 4.613218e-04 3.620364e-04 4.613218e-04 2.291503e+02 2.693767e+02 2.291503e+02 1.189151e+02 1.772727e+02 1.189151e+02 3.821588e+00 4.807690e+00 3.821588e+00 1.450846e-02 2.641800e+00 1.460948e+00 8.347621e+02 1.034640e+03 8.347621e+02 3.044334e+00 5.233432e+02 3.065530e+02
4.405 3.242012e+00 5.093218e-04 3.734060e-04 5.093218e-04 2.268071e+02 2.217645e+02 2.268071e+02 1.209388e+02 1.465574e+02 1.209388e+02 9.777642e-01 9.694458e-01 9.777642e-01 4.648752e-03 5.279681e-01 4.358553e-01 4.416055e+02 4.348005e+02 4.416055e+02 2.132181e+00 2.413714e+02 1.999079e+02
4.405 3.266499e+00 1.523286e-04 6.541850e-05 1.330807e-04 2.639749e+02 5.586665e+02 2.930943e+02 6.001709e+01 2.540247e+02 5.968958e+01 9.567143e+00 2.215324e+01 1.092922e+01 1.168902e-02 1.522279e+01 2.082483e+00 1.680120e+03 3.853409e+03 1.912927e+03 1.730593e+00 2.076946e+03 3.022467e+02
4.405 2.853727e+00 3.509950e-04 2.446382e-04 3.509950e-04 1.224343e+02 1.475914e+02 1.224343e+02 8.393423e+01 1.340885e+02 8.393423e+01 3.771185e-01 4.693569e-01 3.771185e-01 2.568592e-03 4.136036e-01 2.397274e-01 1.761970e+02 2.190736e+02 1.761970e+02 1.203513e+00 1.932009e+02 1.123242e+02
4.405 2.112535e+00 5.272170e-04 4.285215e-04 5.272170e-04 3.484769e+02 3.846865e+02 3.484769e+02 1.529484e+02 2.276310e+02 1.529484e+02 4.598902e+00 5.489596e+00 4.598902e+00 1.757223e-02 3.374223e+00 1.930765e+00 1.196747e+03 1.394276e+03 1.196747e+03 3.970864e+00 7.216776e+02 4.363024e+02
4.405 2.859152e+00 2.674402e-04 2.040779e-04 2.674402e-04 3.109522e+02 3.918742e+02 3.109522e+02 1.057804e+02 1.839861e+02 1.057804e+02 6.583224e+00 8.591050e+00 6.583224e+00 1.274815e-02 4.405526e+00 2.064625e+00 1.400083e+03 1.817718e+03 1.400083e+03 2.276630e+00 7.560074e+02 3.687114e+02
4.405 2.581395e+00 5.413092e-04 4.165063e-04 5.413092e-04 1.747854e+02 2.054558e+02 1.747854e+02 1.106183e+02 1.615423e+02 1.106183e+02 6.499548e-01 7.888550e-01 6.499548e-01 4.314201e-03 5.619625e-01 3.599428e-01 2.994670e+02 3.629621e+02 2.994670e+02 2.003509e+00 2.601827e+02 1.671569e+02
4.405 1.589292e+00 4.413993e-03 5.354856e-04 5.743205e-04 3.276093e+02 3.478917e+02 3.276093e+02 1.966181e+02 2.681114e+02 1.966181e+02 1.722212e+00 1.839045e+00 1.722212e+00 6.340927e-03 1.244542e+00 8.815734e-01 7.431165e+02 7.931983e+02 7.431165e+02 2.810049e+00 5.502184e+02 3.906786e+02
4.405 2.613554e+00 6.267339e-04 1.614505e-04 2.506309e-04 4.557111e+02 1.379244e+02 1.088128e+02 1.697456e+02 1.342807e+02 8.066953e+01 1.474026e+00 4.204391e-01 3.184208e-01 4.786613e-03 4.063561e-01 2.236621e-01 6.788363e+02 1.964792e+02 1.489961e+02 2.217055e+00 1.899344e+02 1.048918e+02
4.405 2.994882e+00 3.821367e-04 2.322610e-04 3.821367e-04 1.509570e+02 1.528996e+02 1.509570e+02 1.094475e+02 1.351254e+02 1.094475e+02 4.887770e-01 4.933259e-01 4.887770e-01 2.838296e-03 4.206297e-01 3.371368e-01 2.280726e+02 2.301692e+02 2.280726e+02 1.326784e+00 1.964324e+02 1.575973e+02
4.405 2.594799e+00 6.230620e-04 5.630380e-04 6.230620e-04 2.839427e+02 3.068296e+02 2.839427e+02 1.582207e+02 1.960739e+02 1.582207e+02 1.575017e+00 1.724404e+00 1.575017e+00 6.235591e-03 8.706148e-01 6.699191e-01 6.604415e+02 7.221433e+02 6.604415e+02 2.742999e+00 3.812886e+02 2.946933e+02
4.405 2.783816e+00 4.001405e-04 2.416761e-04 4.001405e-04 1.285694e+02 1.573524e+02 1.285694e+02 8.083935e+01 1.401466e+02 8.083935e+01 4.104885e-01 5.132963e-01 4.104885e-01 2.913836e-03 4.400521e-01 2.348789e-01 1.915829e+02 2.393353e+02 1.915829e+02 1.364860e+00 2.054208e+02 1.100189e+02
4.405 2.689477e+00 4.415264e-04 3.262086e-04 4.415264e-04 1.570440e+02 1.992382e+02 1.570440e+02 8.358017e+01 1.558735e+02 8.358017e+01 5.727449e-01 7.457446e-01 5.727449e-01 3.273397e-03 5.303861e-01 2.602622e-01 2.646541e+02 3.442202e+02 2.646541e+02 1.525355e+00 2.461264e+02 1.212784e+02
4.405 2.183583e+00 5.001197e-04 4.599362e-04 5.001197e-04 2.671508e+02 2.866246e+02 2.671508e+02 1.470697e+02 2.019430e+02 1.470697e+02 3.794416e+00 4.117345e+00 3.794416e+00 1.457283e-02 2.622521e+00 1.768761e+00 8.877052e+02 9.612002e+02 8.877052e+02 3.186766e+00 5.625768e+02 3.867902e+02
4.405 1.915293e+00 4.583823e-04 3.987096e-04 4.583823e-04 2.030626e+02 2.260671e+02 2.030626e+02 1.342430e+02 1.897002e+02 1.342430e+02 7.848565e-01 8.855709e-01 7.848565e-01 4.055090e-03 6.868071e-01 4.626117e-01 3.608866e+02 4.069846e+02 3.608866e+02 1.878225e+00 3.174941e+02 2.142711e+02
